"collection"	"corpus"	"child"	"sex"	"age"	"transcript_id"	"utterance"	"words"	"id"
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"xxx need a drink"	4	10153
"Eng-NA"	"Braunwald"	"Laura"	"female"	58	7545	"xxx"	1	10154
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"I could kiss you xxx"	5	10155
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7502	"one one baby of each lane"	6	10156
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"xxx"	1	10157
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"maybe xxx aren't you"	5	10158
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"the"	1	10159
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"xxx"	1	10160
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"maybe read a book"	4	10161
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"it"	1	10162
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"i"	1	10163
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"I have to open mine"	5	10164
"Eng-NA"	"Braunwald"	"Laura"	"female"	58	7545	"I got red"	3	10165
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"a"	1	10166
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"that will stop us talking about"	6	10167
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"but Jwww don't do it really hard because it will break it"	13	10168
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"xxx"	1	10169
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"xxx Mum"	2	10170
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"it's wider and it's shorter"	7	10171
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"here we go round xxx"	5	10172
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"r"	1	10173
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"and our chat will help us"	6	10174
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"xxx"	1	10175
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"put it in the dish cupboard with the xxx"	9	10176
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"e"	1	10177
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"because I will skid that"	5	10178
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"xxx"	1	10179
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"yeah"	1	10180
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7502	"I don't can't do it xxx"	8	10181
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"a"	1	10182
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"xxx"	1	10183
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"i"	1	10184
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"we'll have"	3	10185
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"we're making banners"	4	10186
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"xxx"	1	10187
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"n"	1	10188
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"I have to fluff it"	5	10189
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"right"	1	10190
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"Ryan"	1	10191
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"I want to chat"	4	10192
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"xxx"	1	10193
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7502	"right here xxx"	3	10194
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"cool"	1	10195
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"is this your baby"	4	10196
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"xxx"	1	10197
"Eng-NA"	"Braunwald"	"Laura"	"female"	58	7545	"Dad"	1	10198
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"because that's what we're making"	7	10199
"Eng-NA"	"Braunwald"	"Laura"	"female"	58	7545	"did you get the green one"	6	10200
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"bush"	1	10201
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"Jwww"	1	10202
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"I wanna chat after my book xxx"	7	10203
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"right"	1	10204
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"here"	1	10205
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"xxx"	1	10206
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"down here"	2	10207
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"mulberry bush"	2	10208
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"xxx"	1	10209
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"make this xxx"	3	10210
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"yeah"	1	10211
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"xxx mulberry bush"	3	10212
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"I want whitey"	3	10213
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7502	"um"	1	10214
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"xxx"	1	10215
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"xxx"	1	10216
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"now we'll see xxx"	5	10217
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"yeah"	1	10218
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"I want to talk"	4	10219
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"but I don't need her"	6	10220
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"look at"	2	10221
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"mulberry bush"	2	10222
"Eng-NA"	"Braunwald"	"Laura"	"female"	58	7545	"this is for both of us"	6	10223
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7502	"mhm"	1	10224
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"what"	1	10225
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"I hate her"	3	10226
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"erhm"	1	10227
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"I don't like"	4	10228
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7502	"mhm"	1	10229
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"does she have a xxx"	5	10230
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"xxx"	1	10231
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"does she have curly hair in elastic"	7	10232
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"ooh"	1	10233
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"that's disgusting"	3	10234
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"xxx"	1	10235
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"right here"	2	10236
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"xxx"	1	10237
"Eng-NA"	"Braunwald"	"Laura"	"female"	58	7545	"oh"	1	10238
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"ehrm"	1	10239
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7502	"mhm"	1	10240
"Eng-NA"	"Braunwald"	"Laura"	"female"	58	7545	"where have they took my xxx"	6	10241
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"think we'll need a tissue xxx"	7	10242
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7502	"Luka's doesn't"	4	10243
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"okay"	1	10244
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7502	"Luka's is really clean"	5	10245
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"just take one of my tissues"	6	10246
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"I want xxx"	3	10247
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"and that is not fair"	5	10248
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"hey"	1	10249
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"oh"	1	10250
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"that's not even"	4	10251
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7502	"pull if you go like that"	6	10252
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"that's broken"	3	10253
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"stop Zeren"	2	10254
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"Swww why don't you put all all of the water back into the big cup"	16	10255
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"hello"	1	10256
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"I don't I don't xxx"	7	10257
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7502	"that's not any of her saliva is it that"	10	10258
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"where"	1	10259
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"and then"	2	10260
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"xxx"	1	10261
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"and now we'd better go get some other things"	10	10262
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7502	"mhm"	1	10263
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"mhm"	1	10264
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"you go get my Play Doh and I'll get the things that we do the Play Doh with"	19	10265
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"no no no no no"	5	10266
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"xxx"	1	10267
"Eng-NA"	"Braunwald"	"Laura"	"female"	58	7545	"yeah"	1	10268
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"I won't go"	4	10269
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7502	"and she no what no no more"	7	10270
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"stop it"	2	10271
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"oh"	1	10272
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"xxx"	1	10273
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"look"	1	10274
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"and I'll get the placemats"	6	10275
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7502	"or we won't have any left"	7	10276
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"xxx"	1	10277
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"stop"	1	10278
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"I don't want xxx"	5	10279
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"look"	1	10280
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"xxx"	1	10281
"Eng-NA"	"Braunwald"	"Laura"	"female"	58	7545	"and these don't fit"	5	10282
